the	{"determiner": ["cái", "con", "những"]}
be	{"verb": ["thì", "là", "ở"]}
and	{"conjunction": ["và"]}
of	{"preposition": ["của"]}
a	{"determiner": ["một"]}
in	{"preposition": ["trong", "ở"]}
to	{"preposition": ["đến", "tới", "về"], "infinitive marker": ["để"]}
have	{"verb": ["có"]}
it	{"pronoun": ["nó"]}
i	{"pronoun": ["tôi", "mình"]}
that	{"determiner": ["đó", "kia"], "pronoun": ["cái đó", "điều đó"], "conjunction": ["rằng"]}
for	{"preposition": ["cho", "vì"]}
you	{"pronoun": ["bạn", "anh", "chị", "em"]}
he	{"pronoun": ["anh ấy", "ông ấy", "cậu ấy"]}
with	{"preposition": ["với"]}
on	{"preposition": ["trên", "ở"]}
do	{"verb": ["làm"]}
say	{"verb": ["nói"]}
this	{"determiner": ["này"], "pronoun": ["cái này", "điều này"]}
they	{"pronoun": ["họ", "chúng nó"]}
at	{"preposition": ["ở", "tại"]}
but	{"conjunction": ["nhưng"]}
we	{"pronoun": ["chúng tôi", "chúng ta"]}
his	{"determiner": ["của anh ấy", "của ông ấy", "của cậu ấy"]}
from	{"preposition": ["từ"]}
not	{"adverb": ["không"]}
by	{"preposition": ["bởi", "bằng"]}
she	{"pronoun": ["cô ấy", "bà ấy", "chị ấy"]}
or	{"conjunction": ["hoặc"]}
as	{"preposition": ["như", "với tư cách là"], "conjunction": ["khi", "trong khi"]}
what	{"pronoun": ["cái gì", "điều gì"], "determiner": ["gì"]}
go	{"verb": ["đi"]}
their	{"determiner": ["của họ"]}
can	{"verb": ["có thể"]}
who	{"pronoun": ["ai"]}
get	{"verb": ["lấy", "được"]}
if	{"conjunction": ["nếu"]}
would	{"verb": ["sẽ"]}
her	{"pronoun": ["cô ấy", "bà ấy", "chị ấy"], "determiner": ["của cô ấy", "của bà ấy", "của chị ấy"]}
all	{"determiner": ["tất cả"], "pronoun": ["tất cả mọi thứ"]}
my	{"determiner": ["của tôi", "của mình"]}
make	{"verb": ["làm", "chế tạo"]}
about	{"preposition": ["về", "khoảng"]}
know	{"verb": ["biết"]}
will	{"verb": ["sẽ"]}
up	{"adverb": ["lên"], "preposition": ["lên trên"]}
one	{"number": ["một"], "pronoun": ["một người", "một cái"]}
time	{"noun": ["thời gian", "lần"]}
there	{"adverb": ["ở đó", "tại đó"]}
year	{"noun": ["năm"]}
so	{"adverb": ["vậy", "rất"], "conjunction": ["nên"]}
think	{"verb": ["nghĩ"]}
when	{"adverb": ["khi nào"], "conjunction": ["khi"]}
which	{"pronoun": ["cái nào", "điều nào"], "determiner": ["nào"]}
them	{"pronoun": ["chúng nó", "họ"]}
some	{"determiner": ["một vài", "một số"]}
me	{"pronoun": ["tôi", "mình"]}
people	{"noun": ["người", "mọi người"]}
take	{"verb": ["lấy", "cầm", "đưa"]}
